"Measurement outcome","Frequency"
"000000","2100"
"000001","31"
"000010","38"
"000011","17"
"000100","34"
"000101","1"
"000110","22"
"000111","8"
"001000","26"
"001010","4"
"001100","18"
"001110","8"
"001111","5"
"010000","37"
"010010","3"
"010100","3"
"010101","1"
"010110","1"
"010111","1"
"011000","24"
"011001","2"
"011010","3"
"011011","2"
"011100","21"
"011101","1"
"011110","11"
"011111","13"
"100000","218"
"100001","5"
"100010","3"
"100011","3"
"100100","6"
"100110","2"
"100111","1"
"101000","26"
"101010","5"
"101011","1"
"101100","15"
"101101","2"
"101110","4"
"101111","8"
"110000","82"
"110010","4"
"110011","1"
"110100","15"
"110101","2"
"110110","9"
"110111","5"
"111000","62"
"111001","3"
"111010","5"
"111011","5"
"111100","32"
"111101","7"
"111110","19"
"111111","15"